W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio
1.8,50.0,20.0,1.0,12,1.668,0.48,1.2255273055513292,13294,0.1538657407407452,80,80,1.0
1.8,50.0,20.0,2.0,0,1.668,0.48,1.2308973870647737,13127,0.151932870370374,80,80,1.0
1.8,50.0,20.0,2.0,8,1.668,0.48,1.1881661407499229,13627,0.1577199074074133,80,78,0.975
1.8,50.0,20.0,2.0,16,1.668,0.48,1.229981768459414,13164,0.1523611111111142,80,81,1.0125
1.8,50.0,20.0,3.0,4,1.668,0.48,1.2379827466686864,12983,0.1502662037037054,80,79,0.9875
1.8,50.0,20.0,3.0,12,1.668,0.48,1.189416430182593,13743,0.1590625000000057,80,79,0.9875
1.8,50.0,20.0,4.0,0,1.668,0.48,1.1973770491802975,13542,0.1567361111111154,80,80,1.0
1.8,50.0,20.0,4.0,8,1.668,0.48,1.1721256423246136,13817,0.1599189814814866,80,78,0.975
1.8,50.0,20.0,4.0,16,1.668,0.48,1.201899903895885,13527,0.1565625000000035,80,78,0.975
1.8,50.0,20.0,5.0,4,1.668,0.48,1.2283620820093533,13218,0.152986111111115,80,79,0.9875
1.8,50.0,20.0,5.0,12,1.668,0.48,1.183111334867622,13904,0.1609259259259315,80,79,0.9875
1.8,50.0,20.0,6.0,0,1.668,0.48,1.1751220745448938,13844,0.1602314814814851,80,79,0.9875
1.8,50.0,20.0,6.0,8,1.668,0.48,1.1940765123253072,13671,0.158229166666671,80,79,0.9875
1.8,50.0,20.0,6.0,16,1.668,0.48,1.1979284924437683,13565,0.1570023148148199,80,78,0.975
1.8,50.0,20.0,8.0,4,1.668,0.48,1.1285781466113205,14460,0.1673611111111166,80,80,1.0
1.8,50.0,20.0,8.0,12,1.668,0.48,1.1575793960923215,14075,0.1629050925925988,80,80,1.0
1.8,50.0,20.0,10.0,0,1.668,0.48,1.0989808356470243,14767,0.1709143518518577,80,81,1.0125
1.8,50.0,20.0,10.0,8,1.668,0.48,1.108030752630111,14828,0.1716203703703754,80,77,0.9625
1.8,50.0,20.0,10.0,16,1.668,0.48,1.1391294009357975,13037,0.1508912037037018,51,64,1.2549019607843137
2.1,50.0,30.0,0.0,4,1.112,0.48,1.2243686349269505,19933,0.1977480158730229,120,120,1.0
2.1,50.0,30.0,0.0,12,1.112,0.48,1.222152900267116,19843,0.1968551587301658,120,120,1.0
2.1,50.0,30.0,1.0,0,1.112,0.48,1.173423766383951,20752,0.2058730158730209,120,117,0.975
2.1,50.0,30.0,1.0,8,1.112,0.48,1.164083084912054,20798,0.2063293650793706,120,122,1.0166666666666666
2.1,50.0,30.0,1.0,16,1.112,0.48,1.2275247125277653,19828,0.1967063492063562,120,119,0.9916666666666668
2.1,50.0,30.0,2.0,4,1.112,0.48,1.188881926767155,20428,0.2026587301587349,120,120,1.0
2.1,50.0,30.0,2.0,12,1.112,0.48,1.1368562012625547,21544,0.2137301587301652,120,118,0.9833333333333332
2.1,50.0,30.0,3.0,0,1.112,0.48,1.1201344011783383,21726,0.215535714285719,120,119,0.9916666666666668
2.1,50.0,30.0,3.0,8,1.112,0.48,1.1389562006264036,21393,0.2122321428571479,120,123,1.025
2.1,50.0,30.0,3.0,16,1.112,0.48,1.1679102391053229,20744,0.2057936507936568,120,121,1.0083333333333333
2.1,50.0,30.0,4.0,4,1.112,0.48,1.120240284644871,21641,0.2146924603174667,120,121,1.0083333333333333
2.1,50.0,30.0,4.0,12,1.112,0.48,1.1539938476100404,21130,0.2096230158730211,120,118,0.9833333333333332
2.1,50.0,30.0,5.0,0,1.112,0.48,1.0793220643768942,22244,0.2206746031746086,120,116,0.9666666666666668
2.1,50.0,30.0,5.0,8,1.112,0.48,1.1238761807742166,21596,0.2142460317460365,120,122,1.0166666666666666
2.1,50.0,30.0,5.0,16,1.112,0.48,1.1731261595547646,20482,0.2031944444444488,120,120,1.0
2.1,50.0,30.0,6.0,4,1.112,0.48,1.0603802613750035,22879,0.2269742063492075,120,121,1.0083333333333333
2.1,50.0,30.0,6.0,12,1.112,0.48,1.1015738288741002,21902,0.2172817460317503,120,123,1.025
2.1,50.0,30.0,8.0,0,1.112,0.48,1.057976835986652,23053,0.2287003968253983,120,119,0.9916666666666668
2.1,50.0,30.0,8.0,8,1.112,0.48,1.0202483156066264,23599,0.2341170634920678,120,116,0.9666666666666668
2.1,50.0,30.0,8.0,16,1.112,0.48,1.0933944541818472,22251,0.2207440476190504,120,120,1.0
2.1,50.0,30.0,10.0,4,1.112,0.48,1.0075775042199633,24289,0.2409623015873071,120,116,0.9666666666666668
2.1,50.0,30.0,10.0,12,1.112,0.48,0.9897689075630304,24752,0.2455555555555527,120,120,1.0
2.1,50.0,30.0,0.0,0,1.39,0.48,1.1944527472527582,20475,0.2031250000000055,120,117,0.975
2.1,50.0,30.0,0.0,8,1.39,0.48,1.185755289968704,20416,0.2025396825396893,120,122,1.0166666666666666
2.1,50.0,30.0,0.0,16,1.39,0.48,1.2406581231491949,19586,0.1943055555555635,120,118,0.9833333333333332
2.1,50.0,30.0,1.0,4,1.39,0.48,1.2267503759397929,19950,0.1979166666666714,120,119,0.9916666666666668
2.1,50.0,30.0,1.0,12,1.39,0.48,1.222211986181353,19973,0.1981448412698481,120,120,1.0
2.1,50.0,30.0,2.0,0,1.39,0.48,1.175932530120492,20750,0.2058531746031808,120,118,0.9833333333333332
2.1,50.0,30.0,2.0,8,1.39,0.48,1.1609774544062474,20891,0.2072519841269896,120,122,1.0166666666666666
2.1,50.0,30.0,2.0,16,1.39,0.48,1.228312832194408,19755,0.19598214285715,120,119,0.9916666666666668
2.1,50.0,30.0,3.0,4,1.39,0.48,1.1928023829287946,20479,0.2031646825396893,120,120,1.0
2.1,50.0,30.0,3.0,12,1.39,0.48,1.2082425483049983,20029,0.1987003968254039,120,121,1.0083333333333333
2.1,50.0,30.0,4.0,0,1.39,0.48,1.15186100349619,21166,0.2099801587301641,120,119,0.9916666666666668
2.1,50.0,30.0,4.0,8,1.39,0.48,1.149194722905252,21148,0.2098015873015919,120,122,1.0166666666666666
2.1,50.0,30.0,4.0,16,1.39,0.48,1.2091736897222405,20053,0.1989384920634994,120,119,0.9916666666666668
2.1,50.0,30.0,5.0,4,1.39,0.48,1.1549255635899374,21159,0.2099107142857188,120,119,0.9916666666666668
2.1,50.0,30.0,5.0,12,1.39,0.48,1.1842031591737567,20575,0.2041170634920704,120,121,1.0083333333333333
2.1,50.0,30.0,6.0,0,1.39,0.48,1.111129853596458,21994,0.2181944444444484,120,118,0.9833333333333332
2.1,50.0,30.0,6.0,8,1.39,0.48,1.1303424721190023,21520,0.2134920634920684,120,121,1.0083333333333333
2.1,50.0,30.0,6.0,16,1.39,0.48,1.1976560257362303,20205,0.2004464285714356,120,122,1.0166666666666666
2.1,50.0,30.0,8.0,4,1.39,0.48,1.1409098556007111,21399,0.2122916666666719,120,119,0.9916666666666668
2.1,50.0,30.0,8.0,12,1.39,0.48,1.106427952773864,21937,0.2176289682539733,120,118,0.9833333333333332
2.1,50.0,30.0,10.0,0,1.39,0.48,1.0588063101788416,23264,0.2307936507936549,120,117,0.975
2.1,50.0,30.0,10.0,8,1.39,0.48,1.0864582960444036,22348,0.2217063492063543,120,123,1.025
2.1,50.0,30.0,10.0,16,1.39,0.48,1.1469297617342542,20943,0.2077678571428625,120,120,1.0
2.1,50.0,30.0,0.0,4,1.668,0.48,1.2243686349269505,19933,0.1977480158730229,120,120,1.0
2.1,50.0,30.0,0.0,12,1.668,0.48,1.222152900267116,19843,0.1968551587301658,120,120,1.0
2.1,50.0,30.0,1.0,0,1.668,0.48,1.1841400348634756,20652,0.2048809523809581,120,118,0.9833333333333332
2.1,50.0,30.0,1.0,8,1.668,0.48,1.1815498316991453,20499,0.2033630952381015,120,123,1.025
2.1,50.0,30.0,1.0,16,1.668,0.48,1.2317589543543657,19739,0.1958234126984202,120,119,0.9916666666666668
2.1,50.0,30.0,2.0,4,1.668,0.48,1.2183938030984056,20010,0.1985119047619102,120,119,0.9916666666666668
2.1,50.0,30.0,2.0,12,1.668,0.48,1.2033963946117383,20192,0.200317460317467,120,120,1.0
2.1,50.0,30.0,3.0,0,1.668,0.48,1.1821851869769353,20671,0.2050694444444497,120,117,0.975
2.1,50.0,30.0,3.0,8,1.668,0.48,1.141950656810617,21239,0.21070436507937,120,122,1.0166666666666666
2.1,50.0,30.0,3.0,16,1.668,0.48,1.2174428284854848,19940,0.1978174603174671,120,121,1.0083333333333333
2.1,50.0,30.0,4.0,4,1.668,0.48,1.189933681181977,20507,0.203442460317466,120,120,1.0
2.1,50.0,30.0,4.0,12,1.668,0.48,1.1955636023253746,20298,0.2013690476190547,120,119,0.9916666666666668
2.1,50.0,30.0,5.0,0,1.668,0.48,1.1251075466495395,21758,0.2158531746031796,120,117,0.975
2.1,50.0,30.0,5.0,8,1.668,0.48,1.1492500237937082,21014,0.2084722222222282,120,123,1.025
2.1,50.0,30.0,5.0,16,1.668,0.48,1.2224951840211145,19726,0.195694444444451,120,120,1.0
2.1,50.0,30.0,6.0,4,1.668,0.48,1.157403955220158,20277,0.2011607142857162,120,115,0.9583333333333334
2.1,50.0,30.0,6.0,12,1.668,0.48,1.1743876806305689,20553,0.2038988095238157,120,119,0.9916666666666668
2.1,50.0,30.0,8.0,0,1.668,0.48,1.0917697350934736,22574,0.2239484126984141,120,115,0.9583333333333334
2.1,50.0,30.0,8.0,8,1.668,0.48,1.094393568840594,22080,0.2190476190476214,120,122,1.0166666666666666
2.1,50.0,30.0,8.0,16,1.668,0.48,1.138000187511707,21332,0.2116269841269891,120,121,1.0083333333333333
2.1,50.0,30.0,10.0,4,1.668,0.48,1.1060440311772732,21939,0.2176488095238153,120,117,0.975
