W,qp,speed_factor,qr_star
1.8,20,0.8,6
1.8,20,1.0,6
1.8,20,1.2,6
2.1,30,0.8,6
2.1,30,1.0,6
2.1,30,1.2,6
2.4,40,0.8,10
2.4,40,1.0,10
2.4,40,1.2,10
2.7,30,0.8,10
2.7,30,1.0,10
2.7,30,1.2,10
3.0,40,0.8,10
3.0,40,1.0,10
3.0,40,1.2,10
2.4,20,0.8,10
2.4,20,1.0,10
2.4,20,1.2,10
