way_id,highway,name,name_zh,n_nodes,length_m,max_turn_deg,wander_deg,cum_turn_deg,sinuosity,lat0,lon0,lat1,lon1,width_tag,width_m,n_barriers,n_crossings,junc_deg_max,junc_node,cell_type,type_a,type_b,type_c,type_d,splittable,evidence
634721251,primary,MacPherson Road,éº¦æ³¢ç³è·¯,3,50.2,7.8,5.1,7.8,1.002,1.328258,103.869755,1.32837,103.870191,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
634721254,primary,MacPherson Road,éº¦æ³¢ç³è·¯,3,69.6,0.1,0.1,0.1,1.0,1.32837,103.870191,1.328556,103.870789,,,0,0,3,0,A,0,0,0,0,1,splittable
634985506,primary,MacPherson Road,éº¦æ³¢ç³è·¯,3,208.0,1.4,0.9,1.4,1.0,1.328556,103.870789,1.32915,103.872563,,,0,1,3,1,A,0,0,0,0,1,splittable
638086614,residential,Race Course Road,è·é¦¬åè·¯,3,28.4,0.3,0.3,0.3,1.0,1.316395,103.85828,1.316209,103.858105,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
638095010,primary,Serangoon Road,å®é¾å²è·¯,6,71.6,0.4,0.3,0.7,1.0,1.323972,103.865046,1.324483,103.865437,,,0,1,4,0,A,0,0,0,0,1,splittable
639262294,residential,Beatty Road,,3,36.9,0.0,0.0,0.0,1.0,1.314592,103.857621,1.31439,103.857884,,,0,2,4,1,D,1,0,0,1,0,"junc(deg=4,cross_end=1);in_band"
639322531,secondary,Geylang Bahru,,3,46.8,3.6,2.1,3.6,1.0,1.323566,103.869644,1.323908,103.869399,,,0,1,4,0,D,1,0,0,1,0,"junc(deg=4,cross_end=0);in_band"
639322533,secondary,Geylang Bahru,,2,75.9,0.0,0.0,0,1.0,1.321683,103.870802,1.322263,103.870444,,,0,1,3,1,A,0,0,0,0,1,splittable
639322534,secondary,Geylang Bahru,,4,84.4,4.4,3.1,7.3,1.0,1.321042,103.87121,1.321683,103.870802,,,0,2,4,1,A,0,0,0,0,1,splittable
639345208,secondary,Kallang Bahru,,2,42.2,0.0,0.0,0,1.0,1.317936,103.866543,1.317646,103.866298,,,0,0,4,0,D,1,0,0,1,0,"junc(deg=4,cross_end=0);in_band"
639559064,secondary,Geylang Bahru,,2,80.4,0.0,0.0,0,1.0,1.322949,103.87002,1.323566,103.869644,,,0,0,3,0,A,0,0,0,0,1,splittable
639559065,residential,Geylang Bahru Lane,,5,120.9,32.4,29.3,33.8,1.009,1.324051,103.870459,1.323417,103.871331,,,0,1,3,0,B,0,1,0,0,0,"curve(cum=33.8,max=32.4,sin=1.009)"
639596838,service,,,3,27.7,0.0,0.0,0.0,1.0,1.314883,103.861065,1.315033,103.860866,,,0,1,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
639689721,residential,Lorong Bakar Batu,,3,38.3,12.1,9.4,12.1,1.004,1.32846,103.871708,1.328674,103.871441,,,0,1,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
639718927,secondary,Geylang Bahru,,4,80.2,4.9,3.9,7.9,1.001,1.323908,103.869399,1.324336,103.86882,,,0,0,4,0,A,0,0,0,0,1,splittable
640215663,residential,Saint George's Road,,2,11.5,0.0,0.0,0,1.0,1.323386,103.862062,1.323452,103.861983,,,0,0,3,0,D,0,0,0,1,0,"junc(deg=3,cross_end=0);short"
641077579,secondary,Boon Keng Road,ææ¶è·¯,2,22.0,0.0,0.0,0,1.0,1.316298,103.863339,1.316176,103.863496,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
641077845,service,,,5,38.7,0.1,0.1,0.2,1.0,1.322994,103.870151,1.323173,103.870449,,,1,1,4,0,C,1,0,1,1,0,"barrier=lift_gate;junc(deg=4,cross_end=0);in_band"
641092587,service,,,2,10.5,0.0,0.0,0,1.0,1.320568,103.869152,1.320648,103.869103,,,0,0,3,0,D,0,0,0,1,0,"junc(deg=3,cross_end=0);short"
643453803,residential,Kallang Place,,3,53.4,10.0,5.7,10.0,1.004,1.31482,103.867326,1.314553,103.866928,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
643453806,residential,Kallang Place,,2,4.8,0.0,0.0,0,1.0,1.314553,103.866928,1.314528,103.866893,,,0,0,4,0,D,0,0,0,1,0,"junc(deg=4,cross_end=0);short"
643453808,residential,Kallang Place,,4,52.2,2.1,1.3,2.1,1.0,1.314528,103.866893,1.314228,103.866533,,,0,0,4,0,D,1,0,0,1,0,"junc(deg=4,cross_end=0);in_band"
644176152,service,,,6,11.7,22.9,50.4,82.6,1.189,1.328408,103.857516,1.328332,103.857471,,,0,0,2,0,B,0,1,0,0,0,"curve(cum=82.6,max=22.9,sin=1.189)"
644474880,service,,,3,55.1,39.0,37.7,39.0,1.008,1.321785,103.858412,1.321484,103.858802,,,0,0,3,0,B,0,1,0,1,0,"curve(cum=39,max=39,sin=1.008);junc(deg=3,cross_end=0)"
644474881,service,,,2,6.2,0.0,0.0,0,1.0,1.320876,103.858613,1.320839,103.858655,,,0,0,3,0,D,0,0,0,1,0,"junc(deg=3,cross_end=0);short"
644474883,residential,McNair Road,,2,6.6,0.0,0.0,0,1.0,1.320534,103.858932,1.320579,103.858972,,,0,0,3,0,D,0,0,0,1,0,"junc(deg=3,cross_end=0);short"
644474884,residential,McNair Road,,3,36.9,3.2,2.2,3.2,1.0,1.320579,103.858972,1.320837,103.85918,,,0,1,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
644474885,residential,McNair Road,,2,26.0,0.0,0.0,0,1.0,1.321041,103.859349,1.321225,103.859493,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
644474894,service,,,2,49.4,0.0,0.0,0,1.0,1.321666,103.858942,1.322014,103.859218,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
