cell_id,city,type,context,context_src,W_eff,q_p_peak,q_p_off,d_mrt_m,n_shop,n_amen_com,n_amen_tour,landuse
SIN-197634752-1,singapore,A,residential,poi,2.0,"[10.0, 24.0]","[3.0, 6.0]",692.0,0,0,0,residential
SIN-198571185-1,singapore,A,residential,poi,2.0,"[10.0, 24.0]","[3.0, 6.0]",496.0,0,0,0,
SIN-198571185-2,singapore,A,residential,poi,2.0,"[10.0, 24.0]","[3.0, 6.0]",446.0,0,0,0,
SIN-198571185-3,singapore,A,residential,poi,2.0,"[10.0, 24.0]","[3.0, 6.0]",397.0,1,0,0,
SIN-200167221-1,singapore,A,residential,poi,2.0,"[10.0, 24.0]","[3.0, 6.0]",574.0,0,1,0,residential
SIN-200171267-0,singapore,B,residential,poi,2.0,"[10.0, 24.0]","[3.0, 6.0]",483.0,0,0,0,
SIN-200171267-2,singapore,A,residential,poi,2.0,"[10.0, 24.0]","[3.0, 6.0]",430.0,0,1,0,
SIN-200171268-0,singapore,A,residential,poi,2.0,"[10.0, 24.0]","[3.0, 6.0]",273.0,0,0,0,residential
SIN-200171268-4,singapore,A,residential,poi,2.0,"[10.0, 24.0]","[3.0, 6.0]",116.0,0,0,0,
SIN-22811726-0,singapore,D,commercial,poi,1.8,"[27.0, 45.0]","[7.2, 12.6]",321.0,20,9,2,
SIN-22811727-0,singapore,D,commercial,poi,1.8,"[27.0, 45.0]","[7.2, 12.6]",304.0,22,6,2,
SIN-22811728-0,singapore,D,commercial,poi,1.8,"[27.0, 45.0]","[7.2, 12.6]",308.0,27,5,2,
SIN-22928582-0,singapore,A,residential,poi,1.8,"[9.0, 21.6]","[2.7, 5.4]",372.0,1,0,0,
SIN-22928582-1,singapore,A,residential,poi,1.8,"[9.0, 21.6]","[2.7, 5.4]",412.0,1,0,0,
SIN-22928582-2,singapore,A,residential,poi,1.8,"[9.0, 21.6]","[2.7, 5.4]",458.0,1,0,0,
SIN-546209379-0,singapore,D,residential,poi,3.0,"[15.0, 36.0]","[4.5, 9.0]",410.0,1,2,1,
SIN-546209379-1,singapore,A,residential,poi,3.0,"[15.0, 36.0]","[4.5, 9.0]",381.0,1,2,0,
SIN-546209379-2,singapore,A,residential,poi,3.0,"[15.0, 36.0]","[4.5, 9.0]",385.0,1,1,0,
SIN-546225147-8,singapore,C,residential,poi,1.5,"[7.5, 18.0]","[2.2, 4.5]",302.0,0,0,0,
SIN-546402626-0,singapore,C,MRT-frontage,poi,1.5,"[45.0, 67.5]","[12.0, 18.0]",59.0,1,0,1,
SIN-602848280-0,singapore,B,MRT-frontage,poi,1.2,"[36.0, 54.0]","[9.6, 14.4]",56.0,0,1,1,
SIN-641077845-0,singapore,C,residential,poi,1.5,"[7.5, 18.0]","[2.2, 4.5]",229.0,0,0,0,
SIN-74587409-1,singapore,A,residential,poi,1.8,"[9.0, 21.6]","[2.7, 5.4]",238.0,1,1,0,residential
SIN-74587409-2,singapore,A,residential,poi,1.8,"[9.0, 21.6]","[2.7, 5.4]",255.0,1,0,0,residential
SIN-831704635-1,singapore,A,residential,poi,1.5,"[7.5, 18.0]","[2.2, 4.5]",261.0,2,0,0,residential
SIN-865245632-1,singapore,A,residential,poi,1.5,"[7.5, 18.0]","[2.2, 4.5]",966.0,0,0,0,residential
SIN-877712256-0,singapore,B,residential,poi,1.5,"[7.5, 18.0]","[2.2, 4.5]",451.0,0,0,0,
TYO-103063342-0,tokyo,C,MRT-frontage,poi,3.6,"[108.0, 162.0]","[28.8, 43.2]",22.0,15,12,6,commercial
TYO-1083468017-0,tokyo,D,MRT-frontage,poi,1.5,"[45.0, 67.5]","[12.0, 18.0]",112.0,8,10,0,
TYO-1218085161-0,tokyo,D,MRT-frontage,poi,1.5,"[45.0, 67.5]","[12.0, 18.0]",6.0,46,34,1,
TYO-1218085161-1,tokyo,D,MRT-frontage,poi,1.5,"[45.0, 67.5]","[12.0, 18.0]",12.0,42,36,4,retail
TYO-1219088540-0,tokyo,A,commercial,poi,1.2,"[18.0, 30.0]","[4.8, 8.4]",80.0,14,58,37,
TYO-1323228545-3,tokyo,B,residential,poi,2.5,"[12.5, 30.0]","[3.8, 7.5]",168.0,1,1,0,
TYO-153756863-0,tokyo,A,tourism/mixed,poi,1.2,"[24.0, 42.0]","[7.2, 12.0]",93.0,4,15,43,
TYO-153756866-0,tokyo,A,tourism/mixed,poi,1.2,"[24.0, 42.0]","[7.2, 12.0]",111.0,4,12,41,
TYO-153756868-0,tokyo,A,tourism/mixed,poi,1.2,"[24.0, 42.0]","[7.2, 12.0]",102.0,4,15,42,
TYO-153756871-0,tokyo,A,tourism/mixed,poi,1.2,"[24.0, 42.0]","[7.2, 12.0]",120.0,4,12,40,
TYO-153756872-0,tokyo,A,tourism/mixed,poi,1.2,"[24.0, 42.0]","[7.2, 12.0]",117.0,3,10,42,
TYO-154125407-0,tokyo,C,MRT-frontage,poi,1.5,"[45.0, 67.5]","[12.0, 18.0]",45.0,12,14,36,
TYO-154999907-2,tokyo,C,tourism/mixed,poi,1.5,"[30.0, 52.5]","[9.0, 15.0]",107.0,2,13,46,
TYO-184298559-10,tokyo,B,MRT-frontage,poi,2.5,"[75.0, 112.5]","[20.0, 30.0]",49.0,6,12,1,
TYO-285376873-0,tokyo,A,residential,poi,1.2,"[6.0, 14.4]","[1.8, 3.6]",233.0,2,1,0,
TYO-389335193-1,tokyo,D,MRT-frontage,poi,1.5,"[45.0, 67.5]","[12.0, 18.0]",33.0,25,22,0,
TYO-39433580-0,tokyo,A,tourism/mixed,poi,1.2,"[24.0, 42.0]","[7.2, 12.0]",111.0,7,12,3,
TYO-39433580-1,tokyo,A,tourism/mixed,poi,1.2,"[24.0, 42.0]","[7.2, 12.0]",63.0,12,17,3,
TYO-39433615-0,tokyo,A,residential,poi,1.2,"[6.0, 14.4]","[1.8, 3.6]",268.0,1,0,0,
TYO-39433615-1,tokyo,A,residential,poi,1.2,"[6.0, 14.4]","[1.8, 3.6]",299.0,1,0,0,
TYO-666208842-0,tokyo,B,commercial,poi,1.2,"[18.0, 30.0]","[4.8, 8.4]",91.0,2,9,0,
TYO-669243891-0,tokyo,C,commercial,poi,1.2,"[18.0, 30.0]","[4.8, 8.4]",129.0,9,6,0,
TYO-670992443-2,tokyo,D,MRT-frontage,poi,2.5,"[75.0, 112.5]","[20.0, 30.0]",66.0,13,11,6,
