model,MAE,RMSE,mean_over,max_over,mean_under,OAR
A,0.6850660721011644,1.1235259876391404,0.3314471146375788,1.6966264084250673,0.3536189574635856,0.4722222222222222
B,0.5802727669128485,0.8897980678668509,0.3246370964583255,1.5541639039890753,0.255635670454523,0.4722222222222222
A-iso,0.3682796884185773,0.8371428243871166,0.11556437389770724,1.5047619047619052,0.2527153145208701,0.16666666666666666
