W,qp,vbar,base_pass,mean_density_base,mean_fr_base,qr_star,above_upper
1.5,10,0.9330177414251679,True,0.12597529731196433,1.005725245973683,0.0,False
1.5,20,0.856693264252704,True,0.28505277777777793,0.9676868095404356,0.0,False
1.5,30,0.6451865941185417,False,0.6764236111111104,0.8203276939640248,0.0,False
1.5,40,0.4411828256673473,False,1.345803240740745,0.47791405903233153,0.0,False
1.5,50,0.38455122818160503,False,1.8944282407407391,0.3985057818799694,0.0,False
1.5,60,0.3598915537161099,False,1.9175680555555517,0.47018828700888965,0.0,False
1.8,10,0.9951408619147052,True,0.09720382844326347,1.0050246903966495,1.0,False
1.8,20,0.9660183067555944,True,0.20647299382716097,0.9846068913103739,1.0,False
1.8,30,0.9267664976432617,True,0.3289062500000008,0.9941324172683129,0.0,False
1.8,40,0.8176368526270944,True,0.5021334876543211,0.9534955804614705,0.0,False
1.8,50,0.5937625168357157,False,0.8860914351851858,0.6985857606515135,0.0,False
1.8,60,0.3146796778296145,False,1.4562735339506199,0.49592657642738885,0.0,False
2.1,10,1.1071652107510734,True,0.07321757781798618,1.0056541108187984,2.0,False
2.1,20,1.0873195128709114,True,0.15319708994709086,0.9926195841261716,2.0,False
2.1,30,1.0764703032957925,True,0.23234821428571487,0.9988568855346246,1.0,False
2.1,40,1.0428703045308847,True,0.3203154761904808,1.001370947372214,0.0,False
2.1,50,1.022262915163729,True,0.39673611111111584,0.9780727395123936,0.0,False
2.1,60,0.6862307892171541,False,0.7853244047619055,0.7245102165161529,0.0,False
2.4,10,1.1705826045354255,True,0.059483117495346294,1.0042940224304953,4.0,False
2.4,20,1.1557856966972004,True,0.1238443287037033,0.9976448978546198,3.0,False
2.4,30,1.1455662359443046,True,0.18773119212962952,0.9995010451408698,1.0,False
2.4,40,1.1292717611150995,True,0.2524493634259261,0.9937628895439191,1.0,False
2.4,50,1.1173121821629401,True,0.31387094907407376,0.9942490292455288,0.0,False
2.4,60,1.0876645151427762,True,0.3865023148148146,0.9834773314854991,0.0,False
2.7,10,1.1911920646514382,True,0.051517917231497456,1.0030092324932502,8.0,False
2.7,20,1.1752933212978354,True,0.10791280864197413,1.000850900691214,5.0,False
2.7,30,1.1666384645310506,True,0.16316512345678869,0.996041320371078,3.0,False
2.7,40,1.1470360860687376,True,0.2201831275720162,1.0019874056408127,1.0,False
2.7,50,1.1277566100100338,True,0.27651363168724336,1.0003912183340824,1.0,False
2.7,60,1.1039729580369202,True,0.33778317901234683,0.9947892467473414,0.0,False
3.0,10,1.196029505640324,True,0.046149246797425374,0.9996576917232308,10.0,True
3.0,20,1.1789100650813522,True,0.09676064814814814,0.9998955125513952,8.0,False
3.0,30,1.1675264884533014,True,0.1469437499999998,0.9965832548622268,2.0,False
3.0,40,1.1426167676991854,True,0.19946435185185082,0.9953120436879279,1.0,False
3.0,50,1.1318039899635308,True,0.24918611111111058,1.005011533717521,0.0,False
3.0,60,1.1170451186737742,True,0.301521527777778,1.004013228893504,0.0,False
