W,qp,vbar,drobot,dped,PRE,split
2.7,10,1.335070109367271,0.0018938938193209243,0.004017617572334519,0.47139723610389284,0.3
2.7,20,1.2948939336439258,0.004671732179718946,0.004964079672017463,0.941107413334544,0.3
2.7,30,1.2452531369237512,0.004679957957158809,0.00508715804144384,0.9199552911531996,0.3
2.7,40,1.1943815565093128,0.006357329497887809,0.007032484061740707,0.9039948675424683,0.3
2.7,50,1.1240567158919057,0.011978686903102442,0.0063321122098037195,1.8917363600342378,0.3
2.7,60,1.0607355937938685,0.018979246183636445,0.0063321122098037195,2.9973009881681736,0.3
3.0,10,1.3351197852671277,0.0014729935468842381,0.003967633531372217,0.37125241916553703,0.3
3.0,20,1.2954434499534055,0.00385180858579659,0.0049299723212614666,0.7813043024977878,0.3
3.0,30,1.2461437267407909,0.005332485963405853,0.005145303469621521,1.0363792913070102,0.3
3.0,40,1.1946906920445757,0.006490565518354474,0.007033821451605094,0.9227651800677069,0.3
3.0,50,1.1243524775285247,0.007483228863814029,0.00521460930460671,1.435050725123964,0.3
3.0,60,1.0722063844824576,0.007080873901974316,0.00521460930460671,1.3578915482160674,0.3
1.5,10,1.3198116145741254,0.8983362829775552,0.00547979010205959,163.93625782124641,0.7
1.5,20,1.2650137135535295,0.8579262657357659,0.006179089623879119,138.84347338486663,0.7
1.5,30,1.2032228173147383,0.925310484212029,0.007982547608342628,115.91668845732649,0.7
1.5,40,1.123397341231312,0.8387137183681967,0.03456143474718089,24.267329308040633,0.7
1.5,50,0.7777829937595032,0.7023062581947805,0.01934870367178666,36.29732875690527,0.7
1.5,60,0.5842959570416366,0.5350534567062721,0.01934870367178666,27.65319402180215,0.7
1.8,10,1.3268750644719878,0.015934053465152642,0.005592707894634441,2.8490766486194516,0.7
1.8,20,1.2709479855256434,0.016103523761989536,0.006211445070958233,2.592556736480206,0.7
1.8,30,1.208833534816061,0.04863189630150866,0.008325048824618108,5.841634965274757,0.7
1.8,40,1.12558304656988,0.07117100409989696,0.007545266369890636,9.4325369855602,0.7
1.8,50,1.0501303828709736,0.4292893905955175,0.02482634318254192,17.29168840690953,0.7
1.8,60,0.8018669510455544,0.4930530033456184,0.02482634318254192,19.86007362100501,0.7
2.1,10,1.3276309328800602,0.01743404902574963,0.0052375835455810375,3.328643614756042,0.7
2.1,20,1.2752550974242498,0.01752424046801382,0.006038407597227402,2.9021294415534746,0.7
2.1,30,1.2148710214519758,0.02624486078995769,0.0062163126697958315,4.221933835065552,0.7
2.1,40,1.1527078947540175,0.04271949755066218,0.006623629046983814,6.449560693637463,0.7
2.1,50,1.0864716042841793,0.4728450189590704,0.01140861649150382,41.4463067727104,0.7
2.1,60,0.9723854393691411,0.7119876059508263,0.01140861649150382,62.407883241675705,0.7
2.4,10,1.326386585339937,0.012696409085654947,0.004527418351110124,2.8043375056210094,0.7
2.4,20,1.2811124018288358,0.014013962945006897,0.005023584376815405,2.7896342320203553,0.7
2.4,30,1.2308765580606817,0.014825339813925087,0.005616040161562252,2.6398208323711527,0.7
2.4,40,1.1747161564450592,0.01885136558151901,0.005844102220050895,3.2257077086777644,0.7
2.4,50,1.1162751342445503,0.03006408734377075,0.006742283373962654,4.45903645341758,0.7
2.4,60,1.0488523005049237,0.1378783505391692,0.006742283373962654,20.449800593019823,0.7
2.7,10,1.3266726945248697,0.007559429012996999,0.004006227064286083,1.886919760586287,0.7
2.7,20,1.2866104238820089,0.007364579542501248,0.004509284709315553,1.633203493957047,0.7
2.7,30,1.2415175767888533,0.008134300146022344,0.004967130836929634,1.637625505159927,0.7
2.7,40,1.191846268419557,0.008992366628660431,0.004650819967922293,1.9335013375453618,0.7
2.7,50,1.145338068740334,0.016802611125206424,0.006279831921677847,2.675646631115104,0.7
2.7,60,1.0825397495235556,0.03403072942597141,0.006279831921677847,5.4190509953774475,0.7
3.0,10,1.326898464878366,0.004555200681534366,0.003929523552296921,1.1592246797634584,0.7
3.0,20,1.2876032293553967,0.0044293593653945695,0.00357793616569273,1.2379648938026804,0.7
3.0,30,1.2518238676984694,0.009059495436578802,0.004789378254427224,1.8915806927975152,0.7
3.0,40,1.2039300851541972,0.005190373026723316,0.004253012616549335,1.220399160474277,0.7
3.0,50,1.1613999589887039,0.011748394574965682,0.005065735024801432,2.3191885318609216,0.7
3.0,60,1.1107426087406895,0.02766830126793063,0.005065735024801432,5.461853241922218,0.7
