dataset,model,n,c,p,se_p,alpha,se_alpha,ci95_alpha_lo,ci95_alpha_hi
D1_before_refinement,A,137,17.566242234555776,-0.8039412159929463,0.09513122120650823,,,,
D1_before_refinement,A+,137,18.375585185056106,-0.75731984578641,0.10416536735902104,0.8132179955795917,0.17062359888300077,0.4787957417689102,1.1476402493902733
D1_final_main,A,137,19.29308688460065,-0.8278761780803557,0.09641535879556791,,,,
D1_final_main,A+,137,19.891845014845153,-0.7962428191220547,0.10583161799698734,0.8732653680789237,0.1733529290596133,0.5334936271220816,1.213037109035766
D2,A,168,24.374155890965117,-0.9454494315945484,0.08362324518427926,,,,
D2,A+,168,24.425360989120616,-0.9436323120359136,0.09122242859844927,0.992213958115989,0.15368214891091583,0.690996946250594,1.293430969981384
D2_in_domain,A,123,15.705890083675861,-0.6995722261034821,0.08023608766731101,,,,
D2_in_domain,A+,123,7.409765812091811,-0.8798096677453888,0.07231595168508904,2.6325134433089956,0.23073742187446505,2.1802680964350443,3.084758790182947
