city,c,p,delta,fit_n
amsterdam,23.952891675221913,-0.9499410330995158,2.7680592576631584,155
melbourne,22.836204176994794,-0.9172544161293306,3.2067955262791017,144
newtaipei,30.94162233799856,-1.0295370611831827,3.409637388517832,139
nyc,25.00957156860989,-0.9589721378249039,3.1041210834939994,143
seattle,21.10074645717387,-0.877082364583887,3.092076101283539,139
taipei,22.375264783570433,-0.9103781149099089,3.268944647330895,142
taoyuan,25.299020513325715,-0.9672663268926663,2.998848683546445,146
