analysis,scope,excluded,c,p,fit_n,n,n_positive,n_over,over_pct,max_over,mae,zero_pct,mean_loss_all,mean_loss_positive,median_util_positive,positive_reference_zero_pct
exclude_timeout,all,5,24.374155890965117,-0.9454494315945484,168,395,206,15,3.79746835443038,7.0,2.6860759493670887,60.25316455696203,2.59746835443038,4.980582524271845,0.25,25.728155339805824
exclude_timeout,in_domain,5,24.374155890965117,-0.9454494315945484,168,164,141,2,1.2195121951219512,1.0,4.432926829268292,35.36585365853659,4.420731707317073,5.141843971631205,0.2,24.822695035460992
exclude_zero_recorded_flow,all,50,24.374155890965117,-0.9454494315945484,168,350,201,14,4.0,7.0,2.8257142857142856,57.14285714285714,2.7285714285714286,4.751243781094527,0.25,27.363184079601986
exclude_zero_recorded_flow,in_domain,50,24.374155890965117,-0.9454494315945484,168,164,141,2,1.2195121951219512,1.0,4.560975609756097,39.02439024390244,4.548780487804878,5.290780141843972,0.18181818181818182,29.078014184397162
exclude_either,all,50,24.374155890965117,-0.9454494315945484,168,350,201,14,4.0,7.0,2.8257142857142856,57.14285714285714,2.7285714285714286,4.751243781094527,0.25,27.363184079601986
exclude_either,in_domain,50,24.374155890965117,-0.9454494315945484,168,164,141,2,1.2195121951219512,1.0,4.560975609756097,39.02439024390244,4.548780487804878,5.290780141843972,0.18181818181818182,29.078014184397162
