combo_id,cell_id,city,city_code,type,context,W,L,qp,x,sinuosity,vbar,base_pass,qr_star_mean,above_upper,qr_star_per_seed,qr_star,pass_frac_at_star,pass_frac_at_next,source,in_domain,n,n_seeds,timeouts,mean_inflow,mean_outflow,mean_speed,mean_density,mean_flow_ratio,mean_based,per_seed,zero_recorded_flow,timeout_any,baseline_rule_disagreement,inflow_vs_requested
AMS-amsterdam-chain-77474-550|qp3,AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,50.0,3.0,4.666,1.0003,0.096,1,20.0,1,20.0,20.0,1.0,,main,False,30,30,0,0.0,0.0,0.09551711427257019,0.8884709262139138,1.0,1,1,True,False,False,0.0
AMS-amsterdam-chain-75190-0|qp4,AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,50.0,4.0,4.396,1.0001,0.107,1,20.0,1,20.0,20.0,1.0,,main,False,30,30,0,0.0,0.0,0.10744027294206167,0.820557081807058,1.0,1,1,True,False,False,0.0
AMS-amsterdam-chain-66173-0|qp6,AMS-amsterdam-chain-66173-0,amsterdam,AMS,C,residential,1.208,50.0,6.0,4.967,1.0,1.301,1,0.0,0,0.0,0.0,,0.0,main,False,30,30,0,24.0,23.633333333333333,1.3011129438488225,0.06440224889624775,0.9847222222222223,1,1,False,False,False,1.0
AMS-amsterdam-chain-15655-200|qp7,AMS-amsterdam-chain-15655-200,amsterdam,AMS,C,residential,1.319,50.0,7.0,5.307,1.0,1.291,1,0.0,0,0.0,0.0,,0.0,main,False,30,30,0,28.0,28.0,1.2914221006700544,0.06925174795720591,1.0,1,1,False,False,False,1.0
AMS-amsterdam-chain-32447-100|qp7,AMS-amsterdam-chain-32447-100,amsterdam,AMS,C,residential,1.352,50.0,7.0,5.178,1.044,0.0,0,0.0,0,0.0,0.0,,,main,False,30,30,0,14.0,0.0,0.0,0.0,0.0,0,0,False,False,False,0.5
AMS-amsterdam-chain-32674-0|qp7,AMS-amsterdam-chain-32674-0,amsterdam,AMS,C,residential,1.323,50.0,7.0,5.291,1.274,0.0,0,0.0,0,0.0,0.0,,,main,False,30,30,0,14.0,0.0,0.0,0.0,0.0,0,0,False,False,False,0.5
AMS-amsterdam-chain-7530-50|qp8,AMS-amsterdam-chain-7530-50,amsterdam,AMS,C,residential,1.529,50.0,8.0,5.232,1.0,1.318,1,0.0,0,0.0,0.0,,0.667,main,False,30,30,0,32.0,31.866666666666667,1.3181436168657796,0.06690874573069082,0.9958333333333333,1,1,False,False,False,1.0
AMS-amsterdam-chain-77474-550|qp8,AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,50.0,8.0,12.442,1.0003,0.043,0,0.0,0,0.0,0.0,,,main,False,30,30,0,0.0,0.0,0.043434854168707036,2.1808082771729747,1.0,0,0,True,False,False,0.0
AMS-amsterdam-chain-79104-0|qp8,AMS-amsterdam-chain-79104-0,amsterdam,AMS,A,residential,1.662,50.0,8.0,4.813,1.0045,1.334,1,18.0,0,10.0,11.0,0.6,0.5,main,True,30,30,0,32.0,31.866666666666667,1.3337240877432806,0.0605044123545933,0.9958333333333333,1,1,False,False,False,1.0
AMS-amsterdam-chain-141619-0|qp10,AMS-amsterdam-chain-141619-0,amsterdam,AMS,B,residential,2.098,50.0,10.0,4.766,1.0069,1.311,1,15.0,0,10.0,11.0,0.8,0.333,main,True,30,30,0,40.0,40.36666666666667,1.310945016101922,0.061221004130918896,1.0091666666666665,1,1,False,False,False,1.0
AMS-amsterdam-chain-173340-0|qp10,AMS-amsterdam-chain-173340-0,amsterdam,AMS,B,residential,1.96,50.0,10.0,5.102,1.3994,0.0,0,0.0,0,0.0,0.0,,,main,False,30,30,0,20.0,0.0,0.0,0.0,0.0,0,0,False,False,False,0.5
AMS-amsterdam-chain-3511-0|qp10,AMS-amsterdam-chain-3511-0,amsterdam,AMS,B,residential,1.969,50.0,10.0,5.079,1.3121,0.0,0,0.0,0,0.0,0.0,,,main,False,30,30,0,20.0,0.0,0.0,0.0,0.0,0,0,False,False,False,0.5
