scope,n,n_positive,n_over,over_pct,max_over,mae,zero_pct,mean_loss_all,mean_loss_positive,median_util_positive,positive_reference_zero_pct
all,400,206,14,3.5000000000000004,7.0,2.6825,61.75000000000001,2.5925,5.033980582524272,0.25,27.669902912621357
in_domain,164,141,2,1.2195121951219512,1.0,4.469512195121951,37.19512195121951,4.4573170731707314,5.184397163120567,0.2,26.95035460992908
