cell_id,city,W,L,type,qp_last_pass,qp_first_fail,threshold_interval,n_tested_qp_levels,note
SIN-74587409-2,singapore,1.8,50.0,A,22.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-170969415-0,singapore,1.8,50.0,A,22.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-166571436-2,singapore,2.0,50.0,A,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-166571436-3,singapore,2.0,50.0,A,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-197634752-1,singapore,2.0,50.0,A,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-198571185-1,singapore,2.0,50.0,A,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-198571185-2,singapore,2.0,50.0,A,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-198571185-3,singapore,2.0,50.0,A,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-200167221-1,singapore,2.0,50.0,A,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-200171267-2,singapore,2.0,50.0,A,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-200171268-0,singapore,2.0,50.0,A,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-200171268-4,singapore,2.0,50.0,A,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-546209379-1,singapore,3.0,50.0,A,36.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-546209379-2,singapore,3.0,50.0,A,36.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-877712256-0,singapore,1.5,50.0,B,,8.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-139715353-1,singapore,1.8,50.0,B,22.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-200171267-0,singapore,2.0,50.0,B,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-602848280-0,singapore,1.2,50.0,B,,36.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-1105987650-1,singapore,2.5,50.0,B,50.0,88.0,"[50, 88)",2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-546225147-8,singapore,1.5,50.0,C,,8.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-641077845-0,singapore,1.5,50.0,C,,8.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-1189801155-0,singapore,0.5,50.0,C,,10.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-131164229-0,singapore,2.0,50.0,C,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-190681368-0,singapore,2.0,50.0,C,24.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-546402626-0,singapore,1.5,50.0,C,,45.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-546209379-0,singapore,3.0,50.0,D,36.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-1464509030-0,singapore,3.0,50.0,D,36.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-22811726-0,singapore,1.8,50.0,D,27.0,45.0,"[27, 45)",2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-22811727-0,singapore,1.8,50.0,D,45.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-22811728-0,singapore,1.8,50.0,D,45.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-39433615-0,tokyo,1.2,50.0,A,,6.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-39433615-1,tokyo,1.2,50.0,A,,6.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-285376873-0,tokyo,1.2,50.0,A,,6.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-1219088540-0,tokyo,1.2,50.0,A,,18.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-39433580-0,tokyo,1.2,50.0,A,,24.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-39433580-1,tokyo,1.2,50.0,A,,24.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-153756863-0,tokyo,1.2,50.0,A,,24.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-153756866-0,tokyo,1.2,50.0,A,,24.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-153756868-0,tokyo,1.2,50.0,A,,24.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-153756871-0,tokyo,1.2,50.0,A,,24.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
