cell_id,city,W,L,type,qp,x,qr_star,base_pass,base_pass_source
LON-4260257-0,london,1.0,50.0,C,15,15.0,0.0,,proxy(qr_star=0=>unknown)
LON-4260257-1,london,1.0,50.0,C,15,15.0,0.0,,proxy(qr_star=0=>unknown)
LON-4253884-0,london,1.5,50.0,C,22,14.667,0.0,,proxy(qr_star=0=>unknown)
LON-4259165-1,london,1.5,50.0,C,22,14.667,0.0,,proxy(qr_star=0=>unknown)
LON-4260262-0,london,1.5,50.0,C,22,14.667,0.0,,proxy(qr_star=0=>unknown)
LON-4260262-1,london,1.5,50.0,C,22,14.667,0.0,,proxy(qr_star=0=>unknown)
LON-4259243-0,london,1.2,50.0,C,24,20.0,0.0,,proxy(qr_star=0=>unknown)
LON-4260257-0,london,1.0,50.0,C,25,25.0,0.0,,proxy(qr_star=0=>unknown)
LON-4260257-1,london,1.0,50.0,C,25,25.0,0.0,,proxy(qr_star=0=>unknown)
LON-4260255-0,london,1.5,50.0,C,30,20.0,0.0,,proxy(qr_star=0=>unknown)
LON-4253884-0,london,1.5,50.0,C,38,25.333,0.0,,proxy(qr_star=0=>unknown)
LON-4259165-1,london,1.5,50.0,C,38,25.333,0.0,,proxy(qr_star=0=>unknown)
LON-4260262-0,london,1.5,50.0,C,38,25.333,0.0,,proxy(qr_star=0=>unknown)
LON-4260262-1,london,1.5,50.0,C,38,25.333,0.0,,proxy(qr_star=0=>unknown)
LON-4082592-0,london,2.5,50.0,C,38,15.2,12.0,1.0,proxy(qr_star>0=>1)
LON-4259243-0,london,1.2,50.0,C,42,35.0,0.0,,proxy(qr_star=0=>unknown)
LON-4260255-0,london,1.5,50.0,C,52,34.667,0.0,,proxy(qr_star=0=>unknown)
LON-4082592-0,london,2.5,50.0,C,62,24.8,4.0,1.0,proxy(qr_star>0=>1)
LON-227726113-0,london,1.5,50.0,D,45,30.0,0.0,,proxy(qr_star=0=>unknown)
LON-227726725-0,london,1.5,50.0,D,45,30.0,0.0,,proxy(qr_star=0=>unknown)
LON-227726113-0,london,1.5,50.0,D,68,45.333,0.0,,proxy(qr_star=0=>unknown)
LON-227726725-0,london,1.5,50.0,D,68,45.333,0.0,,proxy(qr_star=0=>unknown)
SIN-865245632-1,singapore,1.5,50.0,A,8,5.333,0.0,,proxy(qr_star=0=>unknown)
SIN-831704635-1,singapore,1.5,50.0,A,8,5.333,0.0,,proxy(qr_star=0=>unknown)
SIN-22928582-0,singapore,1.8,50.0,A,9,5.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-22928582-1,singapore,1.8,50.0,A,9,5.0,20.0,1.0,proxy(qr_star>0=>1)
SIN-22928582-2,singapore,1.8,50.0,A,9,5.0,12.0,1.0,proxy(qr_star>0=>1)
SIN-74587409-1,singapore,1.8,50.0,A,9,5.0,12.0,1.0,proxy(qr_star>0=>1)
SIN-74587409-2,singapore,1.8,50.0,A,9,5.0,12.0,1.0,proxy(qr_star>0=>1)
SIN-170969415-0,singapore,1.8,50.0,A,9,5.0,20.0,1.0,proxy(qr_star>0=>1)
SIN-166571436-2,singapore,2.0,50.0,A,10,5.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-166571436-3,singapore,2.0,50.0,A,10,5.0,15.0,1.0,proxy(qr_star>0=>1)
