engine,c,p,x_crit,W_min,floor_over,floor_under
social-force,11.19836830946705,-1.1855877186904695,25.0,1.8,3,9
JuPedSim,31.277599486015472,-0.8560039565476089,33.333333333333336,1.8,12,15
