model,MAE,RMSE,mean_over,max_over,mean_under,OAR
A,1.5349593125928938,2.5594805225494066,0.37563683664085495,3.9007016254468514,1.1593224759520389,0.2708333333333333
B,1.1864757725437454,1.9727754497997025,0.25251947074360476,3.0195353669415343,0.9339563018001407,0.20833333333333334
A-iso,1.3047182821816998,2.0690611615902665,0.29003008861723695,3.0,1.014688193564463,0.1875
