tag,mean_qr_star,seedwise_qr_star,delta
SIN-546209379-1|qp36,15.0,12.0,-3.0
SIN-546209379-2|qp15,20.0,20.0,0.0
SIN-546209379-2|qp36,15.0,12.0,-3.0
SIN-546225147-8|qp18,0.0,0.0,0.0
SIN-546225147-8|qp8,0.0,0.0,0.0
SIN-546402626-0|qp45,0.0,0.0,0.0
SIN-602848280-0|qp36,0.0,0.0,0.0
SIN-602848280-0|qp54,0.0,0.0,0.0
SIN-641077845-0|qp18,0.0,0.0,0.0
SIN-641077845-0|qp8,0.0,0.0,0.0
SIN-74587409-1|qp22,8.0,5.0,-3.0
SIN-74587409-1|qp9,12.0,6.0,-6.0
SIN-74587409-2|qp22,8.0,5.0,-3.0
SIN-74587409-2|qp9,12.0,6.0,-6.0
SIN-831704635-1|qp18,0.0,0.0,0.0
SIN-831704635-1|qp8,0.0,0.0,0.0
SIN-865245632-1|qp18,0.0,0.0,0.0
SIN-865245632-1|qp8,0.0,0.0,0.0
SIN-877712256-0|qp18,0.0,0.0,0.0
SIN-877712256-0|qp8,0.0,0.0,0.0
TYO-103063342-0|qp108,0.0,0.0,0.0
TYO-1083468017-0|qp45,0.0,0.0,0.0
TYO-1218085161-0|qp45,0.0,0.0,0.0
TYO-1218085161-1|qp45,0.0,0.0,0.0
TYO-1219088540-0|qp18,0.0,0.0,0.0
TYO-1219088540-0|qp30,0.0,0.0,0.0
TYO-1323228545-3|qp12,18.0,15.0,-3.0
TYO-1323228545-3|qp30,10.0,10.0,0.0
TYO-153756863-0|qp24,0.0,0.0,0.0
TYO-153756863-0|qp42,0.0,0.0,0.0
TYO-153756866-0|qp24,0.0,0.0,0.0
TYO-153756866-0|qp42,0.0,0.0,0.0
TYO-153756868-0|qp24,0.0,0.0,0.0
TYO-153756868-0|qp42,0.0,0.0,0.0
TYO-153756871-0|qp24,0.0,0.0,0.0
TYO-153756871-0|qp42,0.0,0.0,0.0
TYO-153756872-0|qp24,0.0,0.0,0.0
