cell_id,city,city_code,type,context,W,sinuosity,qp,vbar,base_pass,dens_base,fr_base,qr_star,above_upper
LON-4082521-0,london,LON,B,MRT-frontage,1.5,1.189,45,0.542,False,1.051,1.917,0.0,False
LON-4082521-2,london,LON,B,tourism/mixed,1.5,1.0973,52,0.534,True,0.601,1.078,0.0,False
LON-4244822-2,london,LON,B,tourism/mixed,1.5,1.2278,52,0.679,True,0.851,0.979,0.0,False
LON-4082521-0,london,LON,B,MRT-frontage,1.5,1.189,68,0.422,False,1.15,5.866,0.0,False
LON-4260257-0,london,LON,C,commercial,1.0,1.0,15,0.059,False,2.616,1.0,0.0,False
LON-4260257-1,london,LON,C,commercial,1.0,1.0,15,0.071,False,1.622,1.0,0.0,False
LON-4253884-0,london,LON,C,commercial,1.5,1.0,22,1.237,True,0.2,1.001,0.0,False
LON-4259165-1,london,LON,C,commercial,1.5,1.0,22,1.24,True,0.2,0.998,0.0,False
LON-4260262-0,london,LON,C,commercial,1.5,1.0,22,1.215,True,0.102,0.995,0.0,False
LON-4260262-1,london,LON,C,commercial,1.5,1.0,22,1.139,True,0.021,1.0,0.0,False
LON-4259243-0,london,LON,C,tourism/mixed,1.2,1.0,24,1.107,True,0.192,0.999,0.0,False
LON-4260257-0,london,LON,C,commercial,1.0,1.0,25,0.025,False,3.508,1.0,0.0,False
LON-4260257-1,london,LON,C,commercial,1.0,1.0,25,0.041,False,2.531,1.0,0.0,False
LON-4260255-0,london,LON,C,tourism/mixed,1.5,1.0,30,1.122,True,0.027,0.998,0.0,False
LON-4253884-0,london,LON,C,commercial,1.5,1.0,38,1.096,True,0.391,1.007,0.0,False
LON-4259165-1,london,LON,C,commercial,1.5,1.0,38,1.097,True,0.392,1.006,0.0,False
LON-4260262-0,london,LON,C,commercial,1.5,1.0,38,1.122,True,0.192,1.003,0.0,False
LON-4260262-1,london,LON,C,commercial,1.5,1.0,38,1.094,True,0.038,1.0,0.0,False
LON-4082592-0,london,LON,C,commercial,2.5,1.0,38,1.239,True,0.206,1.006,12.0,False
LON-4259243-0,london,LON,C,tourism/mixed,1.2,1.0,42,0.938,True,0.4,0.996,0.0,False
LON-4260255-0,london,LON,C,tourism/mixed,1.5,1.0,52,1.016,True,0.053,1.0,0.0,False
LON-4082592-0,london,LON,C,commercial,2.5,1.0,62,1.155,True,0.359,1.006,4.0,False
LON-227726113-0,london,LON,D,MRT-frontage,1.5,1.0,45,1.021,True,0.497,0.988,0.0,False
LON-227726725-0,london,LON,D,MRT-frontage,1.5,1.0,45,1.019,True,0.498,0.993,0.0,False
LON-227726113-0,london,LON,D,MRT-frontage,1.5,1.0,68,0.352,False,1.2,4.283,0.0,False
LON-227726725-0,london,LON,D,MRT-frontage,1.5,1.0,68,0.289,False,1.335,7.291,0.0,False
SIN-865245632-1,singapore,SIN,A,residential,1.5,1.0,8,1.314,True,0.068,0.995,0.0,False
SIN-831704635-1,singapore,SIN,A,residential,1.5,1.0,8,1.314,True,0.068,0.998,0.0,False
SIN-22928582-0,singapore,SIN,A,residential,1.8,1.0008,9,1.263,True,0.067,1.001,15.0,False
SIN-22928582-1,singapore,SIN,A,residential,1.8,1.0024,9,1.247,True,0.068,1.002,20.0,True
SIN-22928582-2,singapore,SIN,A,residential,1.8,1.0055,9,1.241,True,0.069,1.002,12.0,False
SIN-74587409-1,singapore,SIN,A,residential,1.8,1.0,9,1.318,True,0.064,1.002,12.0,False
SIN-74587409-2,singapore,SIN,A,residential,1.8,1.0,9,1.32,True,0.064,1.003,12.0,False
SIN-170969415-0,singapore,SIN,A,residential,1.8,1.0011,9,1.312,True,0.064,1.003,20.0,True
SIN-166571436-2,singapore,SIN,A,residential,2.0,1.0008,10,1.342,True,0.062,1.007,15.0,False
SIN-166571436-3,singapore,SIN,A,residential,2.0,1.0003,10,1.296,True,0.065,1.003,15.0,False
SIN-197634752-1,singapore,SIN,A,residential,2.0,1.0005,10,1.302,True,0.065,1.008,15.0,False
SIN-198571185-1,singapore,SIN,A,residential,2.0,1.0,10,1.322,True,0.064,1.007,15.0,False
SIN-198571185-2,singapore,SIN,A,residential,2.0,1.0,10,1.319,True,0.064,1.008,15.0,False
SIN-198571185-3,singapore,SIN,A,residential,2.0,1.0,10,1.319,True,0.064,1.007,15.0,False
SIN-200167221-1,singapore,SIN,A,residential,2.0,1.0,10,1.323,True,0.064,1.006,15.0,False
SIN-200171267-2,singapore,SIN,A,residential,2.0,1.0025,10,1.256,True,0.068,1.007,20.0,True
SIN-200171268-0,singapore,SIN,A,residential,2.0,1.0065,10,1.265,True,0.067,1.007,15.0,False
SIN-200171268-4,singapore,SIN,A,residential,2.0,1.0003,10,1.292,True,0.065,1.007,15.0,False
SIN-546209379-1,singapore,SIN,A,residential,3.0,1.0,15,1.323,True,0.063,0.988,20.0,True
SIN-546209379-2,singapore,SIN,A,residential,3.0,1.0,15,1.321,True,0.063,0.989,20.0,True
SIN-865245632-1,singapore,SIN,A,residential,1.5,1.0,18,1.27,True,0.16,1.004,0.0,False
SIN-831704635-1,singapore,SIN,A,residential,1.5,1.0,18,1.265,True,0.161,1.004,0.0,False
SIN-22928582-0,singapore,SIN,A,residential,1.8,1.0008,22,1.198,True,0.174,0.999,8.0,False
SIN-22928582-1,singapore,SIN,A,residential,1.8,1.0024,22,1.219,True,0.17,1.0,15.0,False
SIN-22928582-2,singapore,SIN,A,residential,1.8,1.0055,22,1.19,True,0.175,1.001,6.0,False
SIN-74587409-1,singapore,SIN,A,residential,1.8,1.0,22,1.238,True,0.167,0.998,8.0,False
SIN-74587409-2,singapore,SIN,A,residential,1.8,1.0,22,1.241,True,0.166,1.0,8.0,False
SIN-170969415-0,singapore,SIN,A,residential,1.8,1.0011,22,1.266,True,0.162,0.998,15.0,False
SIN-166571436-2,singapore,SIN,A,residential,2.0,1.0008,24,1.293,True,0.155,0.997,10.0,False
SIN-166571436-3,singapore,SIN,A,residential,2.0,1.0003,24,1.223,True,0.166,0.998,8.0,False
SIN-197634752-1,singapore,SIN,A,residential,2.0,1.0005,24,1.23,True,0.165,0.997,8.0,False
SIN-198571185-1,singapore,SIN,A,residential,2.0,1.0,24,1.24,True,0.163,0.995,10.0,False
SIN-198571185-2,singapore,SIN,A,residential,2.0,1.0,24,1.238,True,0.163,0.997,8.0,False
SIN-198571185-3,singapore,SIN,A,residential,2.0,1.0,24,1.238,True,0.163,0.997,10.0,False
SIN-200167221-1,singapore,SIN,A,residential,2.0,1.0,24,1.244,True,0.162,0.997,8.0,False
SIN-200171267-2,singapore,SIN,A,residential,2.0,1.0025,24,1.188,True,0.172,0.998,8.0,False
SIN-200171268-0,singapore,SIN,A,residential,2.0,1.0065,24,1.182,True,0.172,1.001,10.0,False
SIN-200171268-4,singapore,SIN,A,residential,2.0,1.0003,24,1.204,True,0.169,0.998,10.0,False
SIN-546209379-1,singapore,SIN,A,residential,3.0,1.0,36,1.253,True,0.16,1.002,15.0,False
SIN-546209379-2,singapore,SIN,A,residential,3.0,1.0,36,1.249,True,0.161,1.003,15.0,False
SIN-877712256-0,singapore,SIN,B,residential,1.5,1.0499,8,1.156,True,0.081,0.999,0.0,False
SIN-139715353-1,singapore,SIN,B,residential,1.8,1.0243,9,1.213,True,0.07,1.006,18.0,False
SIN-200171267-0,singapore,SIN,B,residential,2.0,1.0499,10,1.244,True,0.067,1.02,12.0,False
SIN-877712256-0,singapore,SIN,B,residential,1.5,1.0499,18,1.034,True,0.203,1.022,0.0,False
SIN-139715353-1,singapore,SIN,B,residential,1.8,1.0243,22,1.134,True,0.183,1.004,8.0,False
SIN-200171267-0,singapore,SIN,B,residential,2.0,1.0499,24,1.192,True,0.17,1.005,8.0,False
SIN-602848280-0,singapore,SIN,B,MRT-frontage,1.2,1.022,36,1.07,True,0.472,0.995,0.0,False
SIN-1105987650-1,singapore,SIN,B,tourism/mixed,2.5,1.0426,50,1.147,True,0.115,0.999,6.0,False
SIN-602848280-0,singapore,SIN,B,MRT-frontage,1.2,1.022,54,0.74,True,0.978,0.941,0.0,False
SIN-1105987650-1,singapore,SIN,B,tourism/mixed,2.5,1.0426,88,0.41,False,0.349,3.922,0.0,False
SIN-546225147-8,singapore,SIN,C,residential,1.5,1.0183,8,1.232,True,0.068,0.999,0.0,False
SIN-641077845-0,singapore,SIN,C,residential,1.5,1.0,8,1.297,True,0.011,1.0,0.0,False
SIN-1189801155-0,singapore,SIN,C,tourism/mixed,0.5,1.2948,10,0.0,True,0.0,1.0,0.0,False
SIN-131164229-0,singapore,SIN,C,residential,2.0,1.0,10,1.258,True,0.027,1.003,20.0,True
SIN-190681368-0,singapore,SIN,C,residential,2.0,1.0,10,1.321,True,0.064,1.008,15.0,False
SIN-1189801155-0,singapore,SIN,C,tourism/mixed,0.5,1.2948,18,0.0,True,0.0,1.0,0.0,False
SIN-546225147-8,singapore,SIN,C,residential,1.5,1.0183,18,1.192,True,0.159,1.001,0.0,False
SIN-641077845-0,singapore,SIN,C,residential,1.5,1.0,18,1.212,True,0.026,1.004,0.0,False
SIN-131164229-0,singapore,SIN,C,residential,2.0,1.0,24,1.217,True,0.066,1.0,20.0,True
SIN-190681368-0,singapore,SIN,C,residential,2.0,1.0,24,1.241,True,0.163,0.998,8.0,False
SIN-546402626-0,singapore,SIN,C,MRT-frontage,1.5,1.0,45,1.059,True,0.063,1.002,0.0,False
SIN-546402626-0,singapore,SIN,C,MRT-frontage,1.5,1.0,68,0.036,False,2.169,1.602,0.0,False
SIN-546209379-0,singapore,SIN,D,residential,3.0,1.1495,15,0.976,True,0.088,0.996,20.0,True
SIN-1464509030-0,singapore,SIN,D,residential,3.0,1.0137,15,1.253,True,0.067,0.997,20.0,True
SIN-22811726-0,singapore,SIN,D,commercial,1.8,1.0,27,1.2,True,0.211,1.004,6.0,False
SIN-22811727-0,singapore,SIN,D,commercial,1.8,1.0,27,1.187,True,0.214,1.002,6.0,False
SIN-22811728-0,singapore,SIN,D,commercial,1.8,1.0,27,1.186,True,0.064,1.002,18.0,False
SIN-546209379-0,singapore,SIN,D,residential,3.0,1.1495,36,0.819,True,0.253,0.996,6.0,False
SIN-1464509030-0,singapore,SIN,D,residential,3.0,1.0137,36,1.156,True,0.175,1.001,12.0,False
SIN-22811726-0,singapore,SIN,D,commercial,1.8,1.0,45,1.035,True,0.409,0.995,0.0,False
SIN-22811727-0,singapore,SIN,D,commercial,1.8,1.0,45,1.007,True,0.421,0.994,1.0,False
SIN-22811728-0,singapore,SIN,D,commercial,1.8,1.0,45,1.131,True,0.111,0.999,4.0,False
TYO-39433615-0,tokyo,TYO,A,residential,1.2,1.0005,6,1.29,True,0.066,0.989,0.0,False
TYO-39433615-1,tokyo,TYO,A,residential,1.2,1.0,6,1.283,True,0.007,1.0,0.0,False
TYO-285376873-0,tokyo,TYO,A,residential,1.2,1.0,6,1.301,True,0.065,0.988,0.0,False
TYO-39433615-0,tokyo,TYO,A,residential,1.2,1.0005,14,1.209,True,0.164,1.007,0.0,False
TYO-39433615-1,tokyo,TYO,A,residential,1.2,1.0,14,1.218,True,0.017,0.997,0.0,False
TYO-285376873-0,tokyo,TYO,A,residential,1.2,1.0,14,1.216,True,0.162,1.007,0.0,False
TYO-1219088540-0,tokyo,TYO,A,commercial,1.2,1.0,18,1.167,True,0.207,1.0,0.0,False
TYO-39433580-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,24,1.12,True,0.302,0.997,0.0,False
TYO-39433580-1,tokyo,TYO,A,tourism/mixed,1.2,1.0,24,1.122,True,0.302,0.997,0.0,False
TYO-153756863-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,24,0.0,True,0.003,1.0,0.0,False
TYO-153756866-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,24,0.625,True,0.004,1.0,0.0,False
TYO-153756868-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,24,0.112,True,0.004,1.0,0.0,False
TYO-153756871-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,24,0.975,True,0.006,1.0,0.0,False
TYO-153756872-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,24,1.013,True,0.007,1.0,0.0,False
